"zkrBudovy";"cisloMistnosti";"katedra";"pracoviste";"typCiselne";"typ";"kapacita";"spolecnyFond";"provozOd";"provozDo";"poznamka";"plocha";"vyskaMistnosti";"dvereCislo";"podlazi";"obec";"ulice";"cisloPopisne";"adresaBudovy";"serial";"urlMistnost";"urlBudova";"identifikatorMistnost";"identifikatorBudova"
"EA";"10032";"FF";"Fakulta filozofická";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"24.0";"";"";"10";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030910032";""
"EA";"10033";"KRF";"Katedra religionistiky a filosofie";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"26.0";"";"";"10";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030910033";""
"EA";"10034";"KRF";"Katedra religionistiky a filosofie";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"24.0";"";"";"10";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030910034";""
"EA";"10035";"KRF";"Katedra religionistiky a filosofie";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"24.0";"";"";"10";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030910035";""
"EA";"10036";"KRF";"Katedra religionistiky a filosofie";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"24.0";"";"";"10";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030910036";""
"EA";"11022";"FF";"Fakulta filozofická";"2";"Uèebna";"30";"ne";"1.1.1990";"";"";"48.0";"";"";"11";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030911022";""
"EA";"11023";"FES";"Fakulta ekonomicko-správní";"2";"Uèebna";"18";"ne";"1.1.1990";"";"";"24.0";"";"";"11";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030911023";""
"EA";"11026";"FF";"Fakulta filozofická";"2";"Uèebna";"40";"ne";"1.1.1990";"";"";"50.0";"";"";"11";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030911026";""
"EA";"11028";"UECHI";"Ústav environmentálního a chemického inženýrství";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"24.0";"";"";"11";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030911028";""
"EA";"11034";"UECHI";"Ústav environmentálního a chemického inženýrství";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"24.0";"";"";"11";"Pardubice";"Studentská";" 84";"Studentská,84, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=EA";"030911034";""
